"selection1_name","selection1_url","selection1_selection2_name","selection1_selection2_selection3"
"Jai Thai","https://www.yelp.com/adredir?ad_business_id=8sZ27zjv8tYxEmx_0dngrA&campaign_id=gLYfYKbfPF86XRBIGLz1Rw&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fjai-thai-seattle-8&request_id=dd64323b485d304a&signature=984a5574dfddaae0d0e48d5bc4ae647a8c4b4c712961469bcd244902b3be4bd4&slot=0","Danielle D.","I order here frequently. At least once a week. I order the same thing each time : tofu sweet and sour no rice 4 spicy--
It's hit or miss. They sometimes give me chicken, there are times it only has 2 tomatoes a few carrots and a piece of celery as the vegetable, and the whole month of December every time I ordered lunch they'd give me / charge me for dinner sizes-- and I just had to accept it.
Can't stress enough that I continue to order from here because when it's good, it's so good!
I gave it a 3/5 bc 3/5 times I get my order exactly how I placed it."
"Jai Thai","https://www.yelp.com/adredir?ad_business_id=8sZ27zjv8tYxEmx_0dngrA&campaign_id=gLYfYKbfPF86XRBIGLz1Rw&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fjai-thai-seattle-8&request_id=dd64323b485d304a&signature=984a5574dfddaae0d0e48d5bc4ae647a8c4b4c712961469bcd244902b3be4bd4&slot=0","Ashton S.","Horrible service. Was served meat after explicitly saying I do not eat meat.
I came in at lunch when it was dead with about four other patrons in the restaurant. I ordered yellow curry with brown rice no chicken add shrimp. He asked me, ""ok chicken and shrimp curry?"" I clearly clarified, ""No. Absolutely no chicken. I do not eat chicken or meat. Yellow curry, brown rice, shrimp only."" My order came out with white rice and to my dismay, chicken which I discovered after I began eating.
Multiple people came in, got seated, waited then got up and left because no one would serve them. The workers could care less. I could understand if they were busy but it almost seemed as if they were hiding in the back because they did not know what they were doing. Me and another woman couldn't get anyone to help us pay our bill. We asked multiple times, went to the back, front and kitchen and were both late to work because they would not help us and had no access to change. There are so many amazing food places in Capitol Hill that will not only get your order correct but put in an effort to give great customer service. Such a bummer."
"Jai Thai","https://www.yelp.com/adredir?ad_business_id=8sZ27zjv8tYxEmx_0dngrA&campaign_id=gLYfYKbfPF86XRBIGLz1Rw&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fjai-thai-seattle-8&request_id=dd64323b485d304a&signature=984a5574dfddaae0d0e48d5bc4ae647a8c4b4c712961469bcd244902b3be4bd4&slot=0","Daniel K.",""
"Jai Thai","https://www.yelp.com/adredir?ad_business_id=8sZ27zjv8tYxEmx_0dngrA&campaign_id=gLYfYKbfPF86XRBIGLz1Rw&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fjai-thai-seattle-8&request_id=dd64323b485d304a&signature=984a5574dfddaae0d0e48d5bc4ae647a8c4b4c712961469bcd244902b3be4bd4&slot=0","Ali A.","By far the worst place to eat food in seattle. Don't believe me? give it a shot? Terrible food, they lost two of our cards and on top of that the comedians are awesome, and you want to support them but not in such a shitty resturant, just get a simple drink laugh with the comedianns and bounce!"
"Jai Thai","https://www.yelp.com/adredir?ad_business_id=8sZ27zjv8tYxEmx_0dngrA&campaign_id=gLYfYKbfPF86XRBIGLz1Rw&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fjai-thai-seattle-8&request_id=dd64323b485d304a&signature=984a5574dfddaae0d0e48d5bc4ae647a8c4b4c712961469bcd244902b3be4bd4&slot=0","Hai D.",""
"Jai Thai","https://www.yelp.com/adredir?ad_business_id=8sZ27zjv8tYxEmx_0dngrA&campaign_id=gLYfYKbfPF86XRBIGLz1Rw&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fjai-thai-seattle-8&request_id=dd64323b485d304a&signature=984a5574dfddaae0d0e48d5bc4ae647a8c4b4c712961469bcd244902b3be4bd4&slot=0","Anum I.",""
"Jai Thai","https://www.yelp.com/adredir?ad_business_id=8sZ27zjv8tYxEmx_0dngrA&campaign_id=gLYfYKbfPF86XRBIGLz1Rw&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fjai-thai-seattle-8&request_id=dd64323b485d304a&signature=984a5574dfddaae0d0e48d5bc4ae647a8c4b4c712961469bcd244902b3be4bd4&slot=0","Lledo E.","I don't know about the service, because we ordered to go. But, worst pad thai I have ever tried. They stay open until later than most of the other restaurants though."
"Jai Thai","https://www.yelp.com/adredir?ad_business_id=8sZ27zjv8tYxEmx_0dngrA&campaign_id=gLYfYKbfPF86XRBIGLz1Rw&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fjai-thai-seattle-8&request_id=dd64323b485d304a&signature=984a5574dfddaae0d0e48d5bc4ae647a8c4b4c712961469bcd244902b3be4bd4&slot=0","Brian H.",""
"Jai Thai","https://www.yelp.com/adredir?ad_business_id=8sZ27zjv8tYxEmx_0dngrA&campaign_id=gLYfYKbfPF86XRBIGLz1Rw&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fjai-thai-seattle-8&request_id=dd64323b485d304a&signature=984a5574dfddaae0d0e48d5bc4ae647a8c4b4c712961469bcd244902b3be4bd4&slot=0","M F.","Jai Thai restaurant located at 235 Broadway Ave East, Seattle 98102 was closed by a Public Health food inspector on December 12, 2019 at 2:00 pm due to the following food safety violations:
Handwash stations not maintained
Improper cooling and cold holding of foods
Lack of facility sanitation and maintenance"
"Jai Thai","https://www.yelp.com/adredir?ad_business_id=8sZ27zjv8tYxEmx_0dngrA&campaign_id=gLYfYKbfPF86XRBIGLz1Rw&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fjai-thai-seattle-8&request_id=dd64323b485d304a&signature=984a5574dfddaae0d0e48d5bc4ae647a8c4b4c712961469bcd244902b3be4bd4&slot=0","Michael J.","Went there tonight to get an order to go because google said they were open until 11pm it's now 1015. There was a guy and girl working the counter and they rudely said we are closed as soon as my friend walked in. Pissed. Don't go here"
"Jai Thai","https://www.yelp.com/adredir?ad_business_id=8sZ27zjv8tYxEmx_0dngrA&campaign_id=gLYfYKbfPF86XRBIGLz1Rw&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fjai-thai-seattle-8&request_id=dd64323b485d304a&signature=984a5574dfddaae0d0e48d5bc4ae647a8c4b4c712961469bcd244902b3be4bd4&slot=0","John P.","What a dump! Go somewhere else! I literally called 15 minutes before going in for my pickup order. Got there and waiting around for like 10 minutes. Being ignored. Only to be told that they never got my order. People are rude and the only reason I called here in the first place is cause they were the only Thai place open. Go to Bites of Bangkok! They are awesome. The service here is terrible. And from past experience the food is a little less than so so."
"Jai Thai","https://www.yelp.com/adredir?ad_business_id=8sZ27zjv8tYxEmx_0dngrA&campaign_id=gLYfYKbfPF86XRBIGLz1Rw&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fjai-thai-seattle-8&request_id=dd64323b485d304a&signature=984a5574dfddaae0d0e48d5bc4ae647a8c4b4c712961469bcd244902b3be4bd4&slot=0","Jordan C.",""
